city,lat,lng
Rajasthan,27.02N,74.01E
Punjab,31.14N,75.34E
Maharashtra,19.75N,75.71E
Gujarat,22.25N,75.19E
Haryana,29.05N,76.08E
Madhya  Pradesh,22.97N,78.65E
Uttar Pradesh,26.84N,80.94E
West Bengal,22.98N,87.85E
Goa,15.29N,74.12E
Tamil Nadu,11.12N,78.65E
Kerala,10.85N,76.27E
Karnataka,15.31N,75.71E
Telengana,18.11N,79.01E
Andhra Pradesh,15.91N,79.74E
Uttarakhand,30.06N,79.01E
Himachal,31.10N,77.17E
Jharkhand,23.61N,85.27E
Orrisa,20.95N,85.09E
Meghalaya,25.46N,91.36E
Mizoram,23.16N,92.93E
Nagaland,26.15N,94.56E
Sikkim,27.53N,88.51E
Tripura,23.94N,91.89E
Manipur,24.66N,93.90E
J&K,33.77N,76.57E
Chhattisgarh,21.27N,81.86E
Bihar,25.09N,85.31E
Assam,26.20N,92.93E
Arunachal Pradesh,28.21N,94.72E
Delhi,28.70N,77.10E
Ladakh,34.90N,77.34E
Puducherry,11.94N,77.90E
Chandigarh,30.73N,76.77E
